Date,Open,High,Low,Close,Adj Close,Volume
2008-02-26,6.150000,6.240000,6.020000,6.110000,6.110000,3840700
2008-02-27,6.080000,6.100000,5.760000,5.800000,5.800000,5018700
2008-02-28,5.890000,5.890000,5.650000,5.680000,5.680000,3868600
2008-02-29,5.630000,5.720000,5.430000,5.450000,5.450000,3544400
2008-03-03,5.480000,5.500000,5.130000,5.220000,5.220000,3587900
2008-03-04,5.150000,5.300000,5.030000,5.290000,5.290000,5097200
2008-03-05,5.290000,5.370000,5.020000,5.290000,5.290000,7691500
2008-03-06,5.190000,5.260000,5.040000,5.150000,5.150000,5728200
2008-03-07,5.030000,5.270000,4.950000,5.010000,5.010000,3886100
2008-03-10,4.980000,5.100000,4.700000,4.710000,4.710000,4577900
2008-03-11,4.940000,5.010000,4.780000,5.000000,5.000000,6188400
2008-03-12,4.970000,5.070000,4.750000,4.760000,4.760000,5549300
2008-03-13,4.730000,4.910000,4.580000,4.790000,4.790000,5331600
2008-03-14,4.890000,4.890000,4.520000,4.670000,4.670000,5206500
2008-03-17,4.500000,4.830000,4.420000,4.690000,4.690000,5234100
2008-03-18,4.810000,5.000000,4.700000,5.000000,5.000000,4044800
2008-03-19,4.970000,5.220000,4.820000,5.000000,5.000000,5431600
2008-03-20,5.230000,5.670000,5.000000,5.560000,5.560000,9203100
2008-03-24,5.610000,5.970000,5.560000,5.970000,5.970000,5156500
2008-03-25,5.930000,6.000000,5.720000,5.860000,5.860000,5935300
2008-03-26,5.860000,5.980000,5.500000,5.570000,5.570000,7455600
2008-03-27,5.600000,5.930000,5.560000,5.650000,5.650000,4547600
2008-03-28,5.800000,5.860000,5.440000,5.450000,5.450000,4262500
2008-03-31,5.450000,5.800000,5.390000,5.800000,5.800000,6010300
2008-04-01,5.900000,5.990000,5.740000,5.790000,5.790000,5584400
2008-04-02,5.810000,5.840000,5.610000,5.710000,5.710000,3347000
2008-04-03,5.560000,5.830000,5.500000,5.660000,5.660000,2527800
2008-04-04,5.660000,5.810000,5.530000,5.670000,5.670000,2819500
2008-04-07,5.650000,5.800000,5.600000,5.720000,5.720000,2114000
2008-04-08,5.640000,5.740000,5.560000,5.610000,5.610000,7140400
2008-04-09,5.620000,5.700000,5.220000,5.250000,5.250000,8381200
2008-04-10,5.220000,5.440000,5.220000,5.350000,5.350000,4007600
2008-04-11,5.400000,5.500000,5.280000,5.320000,5.320000,6973600
2008-04-14,5.300000,5.480000,5.140000,5.180000,5.180000,4954000
2008-04-15,5.290000,5.370000,4.950000,4.980000,4.980000,4526800
2008-04-16,5.030000,5.100000,4.860000,4.940000,4.940000,7179200
2008-04-17,4.920000,4.980000,4.770000,4.910000,4.910000,4213500
2008-04-18,5.070000,5.090000,4.940000,5.000000,5.000000,3558400
2008-04-21,4.970000,5.050000,4.820000,4.930000,4.930000,6515300
2008-04-22,5.100000,5.110000,4.500000,4.650000,4.650000,12757100
2008-04-23,4.860000,4.860000,4.630000,4.650000,4.650000,5390500
