Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,16.000000,16.000000,16.000000,16.000000,14.149463,0
2008-01-03,16.020000,16.020000,16.020000,16.020000,14.167150,0
2008-01-04,15.700000,15.700000,15.700000,15.700000,13.884160,0
2008-01-07,15.650000,15.650000,15.650000,15.650000,13.839943,0
2008-01-08,15.460000,15.460000,15.460000,15.460000,13.671919,0
2008-01-09,15.550000,15.550000,15.550000,15.550000,13.751508,0
2008-01-10,15.600000,15.600000,15.600000,15.600000,13.795726,0
2008-01-11,15.430000,15.430000,15.430000,15.430000,13.645389,0
2008-01-14,15.600000,15.600000,15.600000,15.600000,13.795726,0
2008-01-15,15.230000,15.230000,15.230000,15.230000,13.468519,0
2008-01-16,14.980000,14.980000,14.980000,14.980000,13.247433,0
2008-01-17,14.650000,14.650000,14.650000,14.650000,12.955602,0
2008-01-18,14.690000,14.690000,14.690000,14.690000,12.990975,0
2008-01-22,14.470000,14.470000,14.470000,14.470000,12.796420,0
2008-01-23,14.590000,14.590000,14.590000,14.590000,12.902542,0
2008-01-24,14.890000,14.890000,14.890000,14.890000,13.167843,0
2008-01-25,14.850000,14.850000,14.850000,14.850000,13.132470,0
2008-01-28,15.020000,15.020000,15.020000,15.020000,13.282807,0
2008-01-29,15.090000,15.090000,15.090000,15.090000,13.344713,0
2008-01-30,15.010000,15.010000,15.010000,15.010000,13.273965,0
2008-01-31,15.150000,15.150000,15.150000,15.150000,13.397772,0
2008-02-01,15.420000,15.420000,15.420000,15.420000,13.636544,0
2008-02-04,15.350000,15.350000,15.350000,15.350000,13.574641,0
2008-02-05,14.880000,14.880000,14.880000,14.880000,13.158999,0
2008-02-06,14.760000,14.760000,14.760000,14.760000,13.052877,0
2008-02-07,14.770000,14.770000,14.770000,14.770000,13.061723,0
2008-02-08,14.780000,14.780000,14.780000,14.780000,13.070566,0
2008-02-11,14.850000,14.850000,14.850000,14.850000,13.132470,0
2008-02-12,15.030000,15.030000,15.030000,15.030000,13.291652,0
2008-02-13,15.220000,15.220000,15.220000,15.220000,13.459677,0
2008-02-14,15.160000,15.160000,15.160000,15.160000,13.406616,0
2008-02-15,15.190000,15.190000,15.190000,15.190000,13.433146,0
2008-02-19,15.340000,15.340000,15.340000,15.340000,13.565798,0
2008-02-20,15.360000,15.360000,15.360000,15.360000,13.583482,0
2008-02-21,15.260000,15.260000,15.260000,15.260000,13.495049,0
2008-02-22,15.350000,15.350000,15.350000,15.350000,13.574641,0
2008-02-25,15.570000,15.570000,15.570000,15.570000,13.769196,0
2008-02-26,15.720000,15.720000,15.720000,15.720000,13.901847,0
2008-02-27,15.750000,15.750000,15.750000,15.750000,13.928376,0
2008-02-28,15.740000,15.740000,15.740000,15.740000,13.919534,0
2008-02-29,15.430000,15.430000,15.430000,15.430000,13.645389,0
2008-03-03,15.420000,15.420000,15.420000,15.420000,13.636544,0
2008-03-04,15.270000,15.270000,15.270000,15.270000,13.503894,0
2008-03-05,15.440000,15.440000,15.440000,15.440000,13.654230,0
2008-03-06,15.220000,15.220000,15.220000,15.220000,13.459677,0
2008-03-07,15.050000,15.050000,15.050000,15.050000,13.309340,0
2008-03-10,14.820000,14.820000,14.820000,14.820000,13.105940,0
2008-03-11,15.270000,15.270000,15.270000,15.270000,13.503894,0
2008-03-12,15.230000,15.230000,15.230000,15.230000,13.468519,0
2008-03-13,15.320000,15.320000,15.320000,15.320000,13.548109,0
2008-03-14,15.150000,15.150000,15.150000,15.150000,13.397772,0
2008-03-17,14.900000,14.900000,14.900000,14.900000,13.176686,0
2008-03-18,15.240000,15.240000,15.240000,15.240000,13.477363,0
2008-03-19,14.830000,14.830000,14.830000,14.830000,13.114783,0
2008-03-20,14.860000,14.860000,14.860000,14.860000,13.141314,0
2008-03-24,15.100000,15.100000,15.100000,15.100000,13.353555,0
2008-03-25,15.290000,15.290000,15.290000,15.290000,13.521580,0
2008-03-26,15.350000,15.350000,15.350000,15.350000,13.574641,0
